treatment_company,operator,age,azimuth,md,tvd,footage_lateral_length,porpoise_deviation,porpoise_count,shale_footage,acoustic_impedance,log_permeability,poisson_ratio,toc,vcl,p-velocity,s-velocity,youngs_modulus,isip,pump_rate,total_number_of_stages,proppant_volume,proppant_fluid_ratio,production
1,1,6,-32.279999,19148,6443.0,11966.0,6.33,12,1093,30123.2,0.68,0.34,5.0,0.42,13592.23,6950.44,30.82,4149.0,83,56,21568792.0,1.23,5614.947951
2,2,10,-19.799999,15150,7602.0,6890.0,1.28,4,0,30951.61,1.85,0.19,4.22,0.74,11735.04,7162.45,29.72,5776.0,102,33,9841307.0,1.47,2188.836707
3,1,6,-26.879999,14950,5907.0,8793.0,2.03,6,3254,28900.25,0.29,0.33,4.69,0.61,13227.81,6976.93,30.99,4628.0,88,62,17116240.0,1.67,1450.033022
4,1,12,-49.099998,11098,6538.0,4234.0,6.0,23,7470,32826.08,0.73,0.2,4.4,0.56,12646.34,6799.37,26.2,4582.0,100,11,3749559.0,0.77,1060.764407
5,3,12,5.5599999,10549,7024.0,2972.0,11.87,9,3637,26740.05,0.47,0.33,4.66,0.58,13192.18,7046.91,31.18,4909.0,94,9,6690705.0,1.32,607.5303846
6,4,10,-36.990002,13254,7956.0,4838.0,2.49,7,3099,30416.95,0.07,0.34,4.74,0.85,12928.82,6914.76,30.94,4965.485373781148,97,21,6322010.0,0.85,1251.606147
7,4,8,-36.669998,15212,7878.0,7025.0,2.89,6,6153,34904.61,0.35,0.33,4.78,0.73,12789.52,7103.51,31.64,5808.0,89,45,15897798.0,1.09,2719.967368
8,4,11,0.17,12283,6399.0,5190.0,6.37,10,0,35143.87,0.47,0.33,4.65,0.58,13177.63,7045.44,31.18,4214.0,82,19,7720984.0,1.16,709.2709608
9,5,8,-32.98,16892,6822.0,9673.0,13.68,15,6578,35153.91,1.18,0.34,3.92,1.77,12472.19,6518.9,29.82,5258.0,70,48,11794115.0,0.93,3026.278863
10,4,11,-48.709999,17134,7394.0,8996.0,6.7,11,0,28125.24,0.36,0.33,4.64,0.62,12951.0,7067.79,31.36,5694.0,71,54,8373132.0,0.46,3445.939647
11,6,12,-28.09,13155,7914.0,5049.0,13.39,8,4808,34279.87,1.4,0.22,3.98,0.61,12070.16,6813.06,27.57,4828.0,74,9,6001695.0,1.32,1664.355062
3,5,9,-27.33,17888,7437.0,9864.0,3.09,12,635,27153.3,1.29,0.34,4.28,1.79,12208.36,6421.66,29.61,5213.0,64,49,11430950.0,0.87,2633.709408
9,7,13,-44.549999,11904,7059.0,4450.0,7.47,15,0,34735.75,0.29,0.34,4.68,0.63,13203.24,6983.49,31.02,4416.0,89,13,6351477.0,1.3,422.3383461
5,8,10,-48.43,15830,7528.0,8180.0,331.96,1,6693,32451.85,0.36,0.33,4.71,0.59,13266.77,6986.73,31.01,4965.485373781148,84,55,10834362.0,0.9,2619.113528
4,7,7,-47.490002,16599,6146.0,9922.0,5.35,14,0,35042.97,0.35,0.33,4.65,0.6,13164.73,7033.62,31.16,4219.0,95,52,14069535.0,1.23,1305.405685
