treatment_company,operator,age,azimuth,md,tvd,porpoise_deviation,porpoise_count,shale_footage,acoustic_impedance,log_permeability,toc,vcl,p-velocity,pump_rate,proppant_fluid_ratio,unit_proppant_volume,br,production
1,1,6,-32.279999,19148,6443.0,6.33,12,1093,30123.2,0.68,5.0,0.42,13592.23,83,1.23,1126.4253185711302,225.0,5614.947951
4,14,6,21.959999,12874,7535.0,4.65,3,2152,34570.38,0.14,3.64,0.62,11117.56,96,1.11,1009.8457355911139,225.14285714285714,5463.968098
11,14,10,-54.220001,15465,7366.0,30.9,4,4174,34371.58,0.3,3.91,0.59,11113.51,81,1.06,812.1019721952797,224.0,5262.395867
4,4,6,-40.139999,20870,7915.0,3.39,3,2103,34235.23,0.35,4.32,0.71,13211.25,88,1.31,1357.6735984666986,222.35714285714286,5013.576293
4,14,6,-38.360001,22807,6995.0,7.8,24,9872,32892.64,0.87,4.63,0.49,11347.52,101,1.09,1573.4812996009996,222.07142857142858,7909.584263
4,14,6,-45.099998,17845,7038.0,12.32,4,3983,34290.24,1.1,4.62,0.45,11911.21,104,1.16,1291.7511908097506,220.64285714285714,7269.339425
3,1,6,-42.880001,17565,6440.0,10.4,4,3135,34098.48,0.29,4.69,0.6,13239.05,90,1.48,1200.321662396812,228.07142857142856,5410.382164
12,17,12,-29.299999,13843,7935.0,4.96,10,5937,35337.23,0.0,2.06,0.64,11186.02,80,1.25,805.9266777432638,228.21428571428572,5694.299028
9,6,5,-5.6900001,16979,8782.0,5.08,4,6132,32627.37,0.47,4.65,0.58,13177.63,78,1.85,1307.5370752105541,227.57142857142856,5772.391307
16,14,12,-33.90573541903704,14600,7283.0,5.22,5,3519,35012.49,0.1,3.77,0.62,11137.39,80,1.06,910.8762328767124,224.57142857142856,8444.751759
3,1,6,-49.860001,18867,6361.0,0.19,9,5536,34589.69,0.29,4.68,0.63,13203.24,88,1.31,1241.6278157629724,226.42857142857144,5038.05816
4,4,6,-54.459999,27797,7698.0,19.62,9,4977,30173.22,0.67,5.04,0.56,12583.59,81,1.24,1509.1689031190417,237.85714285714286,8230.697526
4,14,5,-33.90573541903704,20741,6555.0,0.85,16,10053,35169.1,0.06,4.61,0.73,13169.32,108,1.2,1621.5837230606046,226.64285714285717,8880.671151
9,6,7,-26.780001,17713,8394.0,1.49,24,2516,34661.95,0.72,2.51,0.53,12088.5,89,1.74,1377.8405690735617,230.49999999999997,5258.248058
1,6,6,-43.099998,17390,7325.0,17.24,2,5227,33244.59,0.3,4.69,0.6,13252.12,92,1.63,861.5187464059804,228.0,8526.300624
12,25,7,-7.3899999,15325,8629.0,18.01,4,4058,35072.44,1.32,3.89,0.47,12187.75,90,1.33,912.9496900489396,229.21428571428575,5128.058548
10,11,7,-51.869999,22881,7557.0,4.97,8,5609,34322.99,0.58,4.81,0.53,12693.31,70,1.01,994.6364232332503,234.21428571428567,5857.975737
4,14,5,-22.379999,15456,6668.0,5.53,22,9017,32806.41,0.31,4.68,0.62,13456.54,108,1.34,1332.9482401656314,226.78571428571428,6842.650083
9,14,11,-24.120001,12264,6716.0,3.67,10,7519,33489.69,0.86,5.01,0.48,11617.26,82,1.12,849.9877690802348,219.85714285714286,6370.282424
7,6,9,-31.68,13577,7561.0,42.6,16,10354,33373.16,0.08,3.64,0.63,11152.1,96,1.47,1070.0089121308094,225.71428571428572,7201.277888
9,6,6,-23.77,12831,6721.0,11.51,17,10158,32889.48,1.06,4.86,0.71,10874.41,90,3.84,2812.4189852700492,227.21428571428572,7503.557935
4,14,6,-57.380001,20553,7533.0,4.35,19,9907,35260.61,0.54,4.83,0.42,13453.26,108,1.1,1605.5349584002336,224.92857142857142,7012.153842
11,14,10,-65.32,11795,7352.0,1.85,10,4203,33505.51,0.47,4.25,0.57,11124.65,80,1.06,709.2083933870284,224.85714285714283,6066.321496
9,14,10,-37.48,15342,6555.0,81.17,3,609,35135.24,1.04,5.04,0.44,12187.11,82,1.08,956.3691826359014,217.5,7114.217446
